,tweet_preprocessed
0,"the/DT priority/NN for/IN the/DT city/NN should/MD be/VB on/IN provide/VBG affordable/JJ housing/NN to/IN the/DT citizen/NNS ,/, not/RB fund/VBG a/DT new/JJ sport/NNS arena/NN …/NFP"
1,"like/IN it/PRP or/CC not/RB ,/, this/DT kind/NN of/IN clip/NN be/VBZ the/DT sort/NN of/IN thing/NN that/WDT can/MD do/VB irreparable/JJ harm/NN to/IN a/DT government/NN ./.everyone/NN can/MD u/PRP …/NFP"
2,"on/IN a/DT scale/NN of/IN moderately/RB conservative/JJ (/-LRB- 1/CD )/-RRB- to/IN right/JJ -/HYPH wing/NN -/HYPH nut/NN -/HYPH job/NN (/-LRB- 10/CD )/-RRB- ,/, where/WRB on/IN the/DT spectrum/NN be/VBZ @globalnew/NNS in/IN the/DT y/NNP …/."
3,keep/VB up/RP with/IN the/DT late/JJS politic/NNS with/IN the/DT daily/NNP debrief/NNP panel/NN host/VBN by/IN @vassykapelo/NNS ./.today/NN 's/POS panel/NN feature/NNS …/.
4,so/RB much/JJ resemblance/NN to/IN nazi/VB germany/NNP lead/VBG up/IN to/IN world/NNP war/NNP 2/CD ./.absolutely/RB disgusting/JJ and/CC disgraceful/JJ #/NNS cdnpoli/NNS …/NFP
5,"i/PRP be/VBP head/VBG to/IN #/$ budget2023/NN stakeholder/NN lockup/NN tomorrow/NN on/IN behalf/NN of/IN @actioncanadashr/NNP !/.international/JJ assistance/NN ,/, fu/NN …/NFP"
6,"manitoba/NNP refugee/NN advocate/NNS fear/VBP change/NN to/IN border/NN policy/NN will/MD hurt/VB people/NNS ,/, not/RB help/VB they/PRP"
7,kraft/NNP #/NNS foodstamps/NNP dinner/NNP and/CC a/DT movie/NN :/:
8,thank/VBP you/PRP to/IN the/DT devoted/JJ member/NNS of/IN @wbwmontreal/NN for/IN represent/VBG those/DT of/IN we/PRP unable/JJ to/TO join/VB today/NN 's/POS delegation/NN to/IN …/NFP
9,"a/DT hotel/NN at/IN the/DT airport/NN be/VBZ not/RB a/DT priority/NN for/IN the/DT city/NN ,/, and/CC public/JJ fund/NNS should/MD be/VB use/VBN for/IN more/RBR pressing/JJ issue/NNS lik/NNP …/NFP"
10,"we/PRP need/VBP an/DT economy/NN that/WDT work/VBZ for/IN the/DT average/JJ albertan/NNP and/CC canadian/NNP ,/, not/RB just/RB ceo/NNS and/CC shareholder/NNS ./. #/$cdnpoli/NNS"
11,@ctvnews/NNP 2/CD dose/NNS &/CC amp/NNP ;/: 3/CD booster/NNS so/RB far./ADD 🙂/FW #cdnpoli/VBZ #/NNS cdnmedi/VB
12,"for/IN the/DT monday/NNP crowd/NN ,/, my/PRP$ weekend/NN @looniepolitic/NNS column/NN :/: we/PRP be/VBP now/RB in/IN witch/NN -/HYPH hunt/NN territory/NN on/IN interference/NN allegat/NN …/NFP"
13,the/DT propose/VBN 180/CD -/HYPH room/NN hotel/NN at/IN the/DT airport/NN be/VBZ a/DT luxury/NN that/WDT the/DT city/NN can/MD not/RB afford/VB ./. #/$noluxuryhotels/ADD #/$ ottnew/NNS …/NFP
14,les/NNP landry/NNP be/VBZ back/RB in/IN medicine/NNP hat/NNP criminal/NNP court/NNP tomorrow/NN morning/NN charge/VBN with/IN kidnap/VBG a/DT woman/NN he/PRP be/VBD pretendin/VBG …/NFP
15,@lngaction/NN really/RB ?/.what/WDT part/NN of/IN #/$ climatechange/NN do/VBP you/PRP not/RB understand/VB ?/. #/$cdnpol/NN
16,how/WRB tell/VBG be/VBZ it/PRP that/IN the/DT cpc/NNP have/VBZ drop/VBN the/DT china/NNP issue/NN ?/.almost/RB unfathomable/JJ a/DT week/NN ago/RB ./. #/$cdnpoli/NNS
17,spokesperson/NN for/IN the/DT #/$ republicanpartyofcanada/NN #/$ pierrepoilievreisabsurd/JJ #/$ neverforget/NNP #/_SP neveragain/NNP …/NFP
18,#/$ qp/NN recap/NN :/: harvesting/NN clip/NNS demand/VBG no/DT new/JJ taxis/NNS #/$ cdnpoli/NNS
19,calgary/NNP 's/POS lone/JJ liberal/NNP mp/NNP slam/NNS imperial/NNP oil/NNP for/IN tailings/NNP pond/NNP leak/NNP #/$ yyc/NN #/$ abpoli/FW #/NNS cdnpoli/NNS
20,"if/IN the/DT global/JJ story/NN be/VBZ true/JJ this/DT be/VBZ one/CD of/IN the/DT big/JJS scandal/NNS in/IN canadian/JJ political/JJ history/NN ./.it/PRP be/VBZ it/PRP be/VBZ false/JJ ,/, it/PRP '/'' …/NFP"
21,"""/`` incel/NNS need/VBP someone/NN to/TO look/VB up/RP to/IN !/. ""/''@charlesadler/NN give/VBZ zero/CD fuck/NNS on/IN today/NN 's/POS #/NNS realtalkrj/NNS ./.🎧/JJ full/NNP :/: …/NFP"
22,"canada/NNP 's/POS kayleigh/NNP mcenany/NNP :/: @sarahfischer/NN _/NFP _/NFP pathetic/JJ ,/, ignorant/JJ and/CC a/DT stain/NN on/IN canada/NNP 's/POS politic/NNS ./.perfect/JJ role/NN for/IN a/DT …/NFP"
23,@karinagould/NNP ms/NNPS gould/NNP ./.i/PRP be/VBP a/DT constituent/NN in/IN burlington/NNP &/CC amp/NNP ;/: have/VBP a/DT child/NN with/IN disability/NNS ./.the/DT liberals/NNPS have/VBP do/VBN no/DT …/NFP
24,@thoughtsnation/NNS @ame_todd/JJ @pierrepoilievre/NFP @jasrajshallan/NNP guess/NNP he/PRP miss/VBD the/DT community/NN college/NN class/NN on/IN ethical/JJ b/NNP …/NFP
25,"i/PRP participate/VBD in/IN a/DT discussion/NN with/IN young/NNP canadians/NNPS for/IN resources/NNP (/-LRB- ycr/NNP )/-RRB- ,/, an/DT org'n/NNS create/VBN by/IN student/NNS &/CC amp/NNP ;/: young/JJ profe/NN …/NFP"
26,yes/UH jt/NNP be/VBZ try/VBG to/TO bury/VB the/DT story/NN ./. #/$publicinquirynow/FW #/XX trudeauchineseelect/IN #/VBZ cdnpoli/NNS
27,".@ranovus/. work/VBG on/IN a/DT $/$ 100/CD -/HYPH million/CD project/NN to/TO advance/VB canadian/JJ semiconductor/NN manufacturing/NN ,/, production/NN ./. #/$cdntech/NNP …/NFP"
28,"@pablorodriguez/NNP the/DT theatre/NN be/VBZ what/WP #/XX trudeaucorruption/NNP do/VBZ every/DT day/NN to/TO keep/VB #/NNS canadian/NNS distract/VBN ,/, disgust/VBN ,/, div/NN …/NFP"
29,#/$ cdnpoli/NNS yes/UH who/WP be/VBP they/PRP ?/. #/$trudeauchineseelect/VBP
30,time/NN for/IN truth/NN ./.expose/VB the/DT real/JJ fact/NNS and/CC motive/NNS behind/IN attack/NNS on/IN chinese/JJ -/HYPH canadian/JJ politician/NNS by/IN select/VBN csis/NNP l/NN …/NFP
31,@drjacobsrad/-LRB- @handongontario/NNP @justintrudeau/NNP an/NNP mp/NNP harm/VBN by/IN a/DT possible/JJ fake/JJ story/NN sue/NNS .../: .../: therefore/RB rwers/NNP shrie/NN …/NFP
32,@ctvnews/NNP zero/NNP ./.none/NN ./.zip/NN please/UH report/VB on/IN all/PDT the/DT #/NNS vaccinesideeffect/NNS #/$ vaccineinjuries/NNP #/$ vaccinedeaths/NNP #/$ sad/NNP you/PRP ’ll/MD d/NN …/NFP
33,#/$ cdnpoli/NNS liberals/NNPS be/VBP quick/JJ to/TO say/VB conservative/NNS do/VBP not/RB promote/VB woman/NNS .../: kim/NNP campbell/NNP conservative/NNP pm/NN 1993/CD ./.liberal/JJ …/.
34,"""/`` gender/NNP equality/NN in/IN cabinet/NN should/MD not/RB be/VB something/NN controversial/JJ ./. ""/''@charlesadler/NN say/VBZ the/DT conservatives/NNPS blow/VBD it/PRP o/NFP …/NFP"
35,what/WP a/DT day/NN !/.over/IN 20/CD meeting/NNS with/IN government/NN leader/NNS ./.huge/JJ thank/VBP you/PRP to/IN parliamentarian/NNS and/CC official/NNS who/WP meet/VBD with/IN …/NFP
